时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额
2013/11/1,599.587,599.627,593.417,597.169,-0.40%,1.04%,"168,076,920","715,899,480"
2013/10/31,599.493,600.095,595.111,599.568,-0.36%,0.83%,"235,128,800","893,426,670"
2013/10/30,588.959,602.376,587.119,601.731,2.05%,2.59%,"302,428,230","1,151,335,010"
2013/10/29,605.346,608.371,581.662,589.644,-2.59%,4.41%,"348,434,560","1,236,577,350"
2013/10/28,603.97,606.062,600.778,605.307,0.24%,0.88%,"207,540,410","855,813,770"
2013/10/25,613.886,615.804,601.245,603.873,-1.62%,2.37%,"280,036,150","1,047,447,360"
2013/10/24,616.341,619.684,612.09,613.829,-0.73%,1.23%,"246,447,280","974,551,750"
2013/10/23,627.558,632.682,616.545,618.351,-1.57%,2.57%,"326,784,130","1,285,800,300"
2013/10/22,631.658,631.883,626.803,628.187,-0.69%,0.80%,"317,691,430","1,460,291,500"
2013/10/21,623.545,632.633,619.957,632.536,1.36%,2.03%,"360,688,270","1,526,843,300"
2013/10/18,624.455,626.278,621.886,624.053,-0.11%,0.70%,"258,176,230","1,009,577,380"
2013/10/17,626.222,629.526,622.742,624.717,-0.14%,1.08%,"309,941,750","1,206,331,290"
2013/10/16,635.028,638.482,622.679,625.597,-1.53%,2.49%,"466,600,710","1,774,357,300"
2013/10/15,637.414,637.873,629.933,635.326,-0.24%,1.25%,"343,249,070","1,409,574,300"
2013/10/14,632.073,636.858,628.414,636.839,0.64%,1.33%,"429,213,310","1,688,441,600"
2013/10/11,621.881,633.387,621.319,632.805,1.92%,1.94%,"453,328,880","1,796,918,000"
2013/10/10,616.342,622.975,612.524,620.873,0.62%,1.69%,"374,504,410","1,523,536,200"
2013/10/9,611.546,617.017,609.819,617.017,0.42%,1.17%,"292,569,460","1,258,616,310"
2013/10/8,605.695,614.506,602.617,614.428,1.01%,1.95%,"320,038,080","1,181,623,440"
2013/9/30,606.02,608.535,604.669,608.301,0.50%,0.64%,"221,299,370","843,511,610"
2013/9/27,605.622,608.01,603.034,605.287,-0.27%,0.82%,"223,199,280","845,537,740"
2013/9/26,620.725,622.147,606.697,606.938,-2.27%,2.49%,"366,774,740","1,408,251,400"
2013/9/25,623.598,626.36,620.182,621.014,-0.46%,0.99%,"345,289,600","1,425,240,600"
2013/9/24,629.747,629.788,617.958,623.863,-1.18%,1.87%,"360,274,490","1,474,512,600"
2013/9/23,626.569,631.344,624.607,631.344,0.65%,1.07%,"332,814,770","1,351,117,900"
2013/9/18,624.946,627.712,620.286,627.248,0.26%,1.19%,"260,318,260","1,031,778,450"
2013/9/17,636.531,636.633,625.594,625.594,-1.94%,1.73%,"393,700,520","1,565,384,200"
2013/9/16,641.106,645.694,635.866,637.967,-0.66%,1.53%,"430,743,260","1,710,526,000"
2013/9/13,649.963,651.525,640.312,642.23,-1.59%,1.72%,"561,323,810","2,222,314,000"
2013/9/12,656.437,656.437,645.565,652.633,-1.22%,1.65%,"794,844,390","2,736,338,400"
2013/9/11,643.124,676.078,643.124,660.722,2.74%,5.12%,"1,413,635,400","4,786,384,000"
2013/9/10,630.987,643.086,629.046,643.086,1.75%,2.22%,"751,020,440","2,768,753,500"
2013/9/9,624.41,633.656,621.823,632.054,1.65%,1.90%,"604,938,490","2,415,951,500"
2013/9/6,614.712,623.263,612.396,621.823,0.74%,1.76%,"411,736,850","1,686,293,600"
2013/9/5,626.517,626.517,614.531,617.241,-2.00%,1.90%,"501,716,680","1,947,737,100"
2013/9/4,614.166,636.775,613.609,629.838,2.91%,3.78%,"926,876,800","3,484,443,700"
2013/9/3,603.876,612.144,602.547,612.052,0.86%,1.58%,"401,221,530","1,477,865,900"
2013/9/2,603.108,608.267,601.019,606.855,0.73%,1.20%,"423,681,070","1,550,775,300"
2013/8/30,598.863,603.854,595.011,602.45,0.12%,1.47%,"480,869,260","1,762,581,000"
2013/8/29,603.487,606.163,596.209,601.703,-0.11%,1.65%,"358,092,480","1,302,841,070"
2013/8/28,595.828,605.41,592.815,602.361,0.58%,2.10%,"450,901,390","1,651,099,800"
2013/8/27,592.907,598.859,591.271,598.859,0.91%,1.28%,"278,434,800","1,173,197,500"
2013/8/26,582.522,593.447,580.959,593.447,1.96%,2.15%,"257,588,820","991,565,030"
2013/8/23,587.544,589.13,574.958,582.053,-0.81%,2.42%,"248,719,370","878,897,670"
2013/8/22,588.587,590.231,585.139,586.801,-0.49%,0.86%,"202,832,760","721,846,430"
2013/8/21,588.821,590.929,585.675,589.678,0.00%,0.89%,"184,760,990","694,139,240"
2013/8/20,595.068,597.564,587.76,589.696,-1.22%,1.64%,"237,121,580","864,873,190"
2013/8/19,588.53,597.272,586.347,596.967,1.61%,1.86%,"268,776,210","992,185,610"
2013/8/16,591.199,607.083,585.934,587.497,-0.92%,3.57%,"482,029,840","1,737,039,300"
2013/8/15,599.328,600.405,592.09,592.978,-0.81%,1.39%,"290,462,330","993,959,510"
2013/8/14,603.089,604.37,595.454,597.797,-1.06%,1.48%,"383,936,230","1,323,321,190"
2013/8/13,594.175,610.185,593.671,604.206,1.67%,2.78%,"604,923,500","2,035,471,900"
2013/8/12,582.191,594.266,580.923,594.266,2.30%,2.30%,"471,589,610","1,665,320,300"
2013/8/9,575.595,581.5,574.807,580.906,0.90%,1.16%,"356,475,590","1,342,233,800"
2013/8/8,574.845,578.885,572.421,575.707,0.20%,1.13%,"229,813,600","854,524,140"
2013/8/7,576.335,580.451,573.274,574.558,-0.68%,1.24%,"266,507,460","957,593,650"
2013/8/6,574.369,579.902,570.134,578.481,0.47%,1.70%,"279,891,170","1,020,215,060"
2013/8/5,569.62,575.835,567.429,575.8,1.03%,1.47%,"236,908,310","893,522,370"
2013/8/2,570.201,573.361,568.679,569.923,-0.04%,0.82%,"257,982,560","975,373,560"
2013/8/1,565.069,570.148,561.621,570.148,1.72%,1.52%,"293,338,970","1,048,715,600"
2013/7/31,558.163,564.854,557.683,560.484,0.66%,1.29%,"210,462,440","728,373,090"
2013/7/30,551.484,561.073,548.37,556.789,0.81%,2.30%,"204,204,990","673,276,380"
2013/7/29,562.72,562.72,550.491,552.304,-2.15%,2.17%,"231,327,710","742,096,600"
2013/7/26,567.975,567.975,559.64,564.449,-0.76%,1.47%,"255,879,450","856,535,760"
2013/7/25,565.56,576.629,562.548,568.793,0.74%,2.49%,"407,438,170","1,325,525,550"
2013/7/24,567.137,567.464,558.049,564.619,-0.78%,1.65%,"242,866,490","861,766,210"
2013/7/23,556.211,569.405,555.147,569.034,2.32%,2.56%,"288,275,570","1,037,956,490"
2013/7/22,548.649,556.142,544.986,556.142,0.83%,2.02%,"188,658,530","626,153,650"
2013/7/19,564.447,566.509,551.115,551.574,-2.36%,2.73%,"250,888,280","853,690,060"
2013/7/18,571.745,571.863,564.208,564.903,-1.38%,1.34%,"252,906,690","866,033,370"
2013/7/17,575.155,579.781,572.153,572.836,-0.77%,1.32%,"298,815,970","1,028,327,510"
2013/7/16,572.397,579.608,566.211,577.297,0.68%,2.34%,"283,684,200","989,922,710"
2013/7/15,566.989,574.524,565.882,573.388,0.93%,1.52%,"301,056,560","1,013,343,020"
2013/7/12,575.07,580.5,566.567,568.086,-1.41%,2.42%,"371,972,730","1,285,641,310"
2013/7/11,559.399,581.986,559.399,576.188,2.99%,4.04%,"582,975,100","1,960,131,700"
2013/7/10,546.094,559.968,543.549,559.472,2.43%,3.01%,"287,076,420","978,708,920"
2013/7/9,543.04,547.566,541.481,546.214,0.36%,1.12%,"182,080,030","599,375,820"
2013/7/8,563.2,563.2,544.045,544.252,-4.46%,3.36%,"304,895,270","1,015,541,300"
2013/7/5,568.675,578.631,565.784,569.681,0.11%,2.26%,"356,898,760","1,230,506,470"
2013/7/4,565.659,575.149,560.093,569.061,-0.02%,2.65%,"357,699,870","1,203,434,490"
2013/7/3,566.246,574.565,562.126,569.148,-0.03%,2.18%,"407,331,890","1,331,812,540"
2013/7/2,560.251,569.934,555.827,569.321,1.38%,2.51%,"355,868,590","1,107,728,670"
2013/7/1,556.64,562.071,550.458,561.562,0.55%,2.08%,"356,294,080","1,099,790,020"
2013/6/28,557.547,566.809,549.909,558.491,-0.86%,3.00%,"498,297,010","1,524,409,600"
2013/6/27,557.732,570.741,552.837,563.33,1.06%,3.21%,"591,027,870","1,836,287,300"
2013/6/26,557.301,561.73,550.203,557.445,-0.15%,2.06%,"343,910,010","1,124,138,170"
2013/6/25,564.899,569.097,525.723,558.266,-2.22%,7.60%,"455,646,370","1,431,695,500"
2013/6/24,606.457,606.457,566.495,570.928,-6.06%,6.58%,"373,987,870","1,242,787,030"
2013/6/21,605.445,611.804,596.349,607.751,-0.77%,2.52%,"259,529,850","914,841,580"
2013/6/20,626.367,626.423,611.576,612.453,-3.42%,2.34%,"275,463,270","948,057,390"
2013/6/19,623.501,635.581,609.73,634.145,1.29%,4.13%,"447,735,720","1,476,763,300"
2013/6/18,628.965,629.594,621.863,626.044,-0.48%,1.23%,"248,439,010","906,186,920"
2013/6/17,630.453,632.457,624.236,629.042,-0.30%,1.30%,"245,386,000","938,779,780"
2013/6/14,627.73,631.028,625.791,630.917,0.28%,0.83%,"239,944,800","975,783,380"
2013/6/13,648.269,648.269,626.66,629.141,-3.75%,3.31%,"316,325,100","1,256,565,090"
2013/6/7,662.419,664.78,652.134,653.653,-1.34%,1.91%,"309,459,560","1,167,517,820"
2013/6/6,669.862,670.372,662.52,662.52,-1.48%,1.17%,"232,164,710","928,257,020"
2013/6/5,668.983,672.785,666.895,672.489,0.41%,0.88%,"227,517,710","1,011,598,890"
2013/6/4,683.647,683.647,668.586,669.732,-2.04%,2.20%,"301,390,340","1,263,401,590"
2013/6/3,684.596,688.83,682.156,683.688,-0.27%,0.97%,"258,436,330","1,058,314,000"
2013/5/31,690.396,691.513,684.915,685.564,-0.68%,0.96%,"310,397,980","1,256,972,730"
2013/5/30,691.619,691.619,686.439,690.275,-0.51%,0.75%,"364,918,720","1,477,286,100"
2013/5/29,692.742,696.437,691.582,693.806,0.04%,0.70%,"537,892,080","2,119,153,200"
2013/5/28,689.802,693.643,681.944,693.541,0.43%,1.69%,"416,385,290","1,662,092,800"
2013/5/27,693.637,694.11,688.575,690.556,-0.56%,0.80%,"316,932,480","1,349,788,900"
2013/5/24,692.383,696.066,688.695,694.437,0.31%,1.06%,"359,917,160","1,536,869,400"
2013/5/23,692.013,698.078,690.114,692.279,-0.29%,1.15%,"464,523,130","1,808,338,300"
2013/5/22,689.444,695.519,686.788,694.26,0.58%,1.26%,"486,634,610","1,860,394,900"
2013/5/21,684.992,690.281,682.308,690.281,0.58%,1.16%,"361,303,810","1,553,303,000"
2013/5/20,682.258,686.625,680.716,686.305,0.76%,0.87%,"416,276,650","1,703,193,000"
2013/5/17,672.287,681.829,671.628,681.097,1.13%,1.51%,"418,819,310","1,609,136,900"
2013/5/16,666.673,673.589,662.772,673.471,0.90%,1.62%,"306,770,010","1,251,251,440"
2013/5/15,666.657,668.642,664.19,667.445,0.10%,0.67%,"207,809,150","806,937,980"
2013/5/14,671.874,671.916,663.548,666.779,-1.05%,1.24%,"254,413,750","996,298,650"
2013/5/13,668.902,674.15,666.4,673.875,0.76%,1.16%,"262,901,360","1,043,558,780"
2013/5/10,663.386,668.937,662.481,668.781,0.54%,0.97%,"230,547,890","987,109,620"
2013/5/9,672.128,672.147,662.054,665.201,-1.14%,1.50%,"268,323,770","1,091,211,250"
2013/5/8,671.301,673.412,669.842,672.9,0.31%,0.53%,"292,500,850","1,170,195,050"
2013/5/7,667.721,670.966,665.146,670.789,0.34%,0.87%,"281,130,480","1,133,400,720"
2013/5/6,663.848,669.385,663.21,668.528,0.76%,0.93%,"287,575,120","1,184,837,140"
2013/5/3,655.114,664.99,654.633,663.488,1.37%,1.58%,"215,653,170","865,113,960"
2013/5/2,654.932,656.237,651.66,654.518,-0.32%,0.70%,"259,452,310","962,079,560"
2013/4/26,662.521,664.201,655.241,656.604,-0.86%,1.35%,"258,359,740","987,214,910"
2013/4/25,668.854,669.996,661.781,662.273,-1.13%,1.23%,"277,819,670","1,133,930,080"
2013/4/24,658.79,670.635,657.239,669.859,1.63%,2.03%,"301,948,940","1,186,208,800"
2013/4/23,675.567,675.567,658.723,659.12,-2.41%,2.49%,"349,971,560","1,279,403,110"
2013/4/22,672.25,677.699,672.25,675.369,0.61%,0.81%,"381,714,280","1,343,540,800"
2013/4/19,661.024,672.313,660.665,671.263,1.53%,1.76%,"306,501,520","1,163,477,930"
2013/4/18,659.907,663.882,657.019,661.152,-0.26%,1.04%,"201,947,170","789,391,780"
2013/4/17,663.291,663.844,658.146,662.849,-0.10%,0.86%,"187,456,340","715,290,350"
2013/4/16,654.963,664.349,653.27,663.513,0.40%,1.68%,"221,776,650","816,852,980"
2013/4/15,671.669,671.669,659.642,660.851,-1.91%,1.79%,"225,075,260","854,575,500"
2013/4/12,676.864,679.037,671.977,673.752,-0.63%,1.04%,"227,146,530","856,671,800"
2013/4/11,684.46,685.964,677.314,678.04,-1.09%,1.26%,"294,288,750","1,214,153,730"
2013/4/10,679.8,687.604,677.389,685.541,0.66%,1.50%,"371,550,190","1,536,700,200"
2013/4/9,674.843,682.407,674.843,681.035,0.74%,1.12%,"319,399,380","1,366,434,100"
2013/4/8,675.761,676.045,666.02,676.045,-0.83%,1.47%,"336,447,330","1,369,087,000"
2013/4/3,687.228,687.228,679.397,681.72,-0.72%,1.14%,"404,200,140","1,771,449,800"
2013/4/2,686.16,690.908,684.631,686.689,0.06%,0.91%,"426,690,410","1,875,384,100"
2013/4/1,688.176,688.347,683.619,686.266,-0.10%,0.69%,"388,932,110","1,658,775,100"
2013/3/29,685.188,691.865,685.188,686.974,-0.44%,0.97%,"502,739,480","2,346,993,400"
2013/3/28,703.759,704.747,690.019,690.019,-2.60%,2.08%,"587,956,720","2,631,759,400"
2013/3/27,704.927,712.046,704.927,708.461,0.55%,1.01%,"465,081,430","2,175,001,200"
2013/3/26,712.56,712.56,700.695,704.607,-1.79%,1.65%,"526,826,260","2,342,327,100"
2013/3/25,703.761,719.9,699.816,717.48,2.02%,2.86%,"713,526,070","3,034,317,200"
2013/3/22,701.408,704.223,698.696,703.25,-0.09%,0.79%,"311,539,850","1,260,376,210"
2013/3/21,700.119,705.207,698.264,703.872,0.77%,0.99%,"351,786,880","1,517,434,300"
2013/3/20,685.267,698.49,684.353,698.49,1.86%,2.06%,"374,711,170","1,427,292,600"
2013/3/19,683.634,686.046,677.375,685.704,0.24%,1.27%,"256,949,640","969,573,290"
2013/3/18,692.53,694.791,683.543,684.055,-1.80%,1.61%,"333,000,770","1,275,245,400"
2013/3/15,696.485,705.357,689.982,696.594,0.07%,2.21%,"436,383,700","1,731,382,500"
2013/3/14,697.257,700.981,695.157,696.083,-0.52%,0.83%,"268,636,130","1,096,642,440"
2013/3/13,702.952,702.952,693.854,699.706,-0.46%,1.29%,"378,732,250","1,524,143,100"
2013/3/12,712.523,716.447,696.814,702.952,-1.64%,2.75%,"421,560,670","1,774,726,400"
2013/3/11,720.683,720.683,711.92,714.703,-1.05%,1.21%,"294,365,080","1,174,565,330"
2013/3/8,726.563,731.039,718.486,722.309,0.02%,1.74%,"469,906,980","1,982,505,600"
2013/3/7,720.973,725.476,714.959,722.14,-0.03%,1.46%,"479,392,260","2,059,639,700"
2013/3/6,713.565,722.416,712.382,722.353,1.21%,1.41%,"454,021,400","1,870,891,200"
2013/3/5,706.621,714.18,705.004,713.684,1.48%,1.30%,"456,991,790","1,702,943,000"
2013/3/4,732.021,732.021,699.57,703.3,-4.62%,4.40%,"613,128,990","2,336,241,600"
2013/3/1,741.221,741.221,729.935,737.394,-0.27%,1.53%,"339,908,290","1,414,910,000"
2013/2/28,734.077,739.48,726.059,739.373,1.43%,1.84%,"396,133,980","1,647,189,500"
2013/2/27,725.71,732.305,722.572,728.975,0.45%,1.34%,"348,758,600","1,491,622,600"
2013/2/26,739.159,739.159,724.796,725.71,-1.92%,1.94%,"418,397,210","1,764,405,900"
2013/2/25,741.511,745.15,738.57,739.899,-0.12%,0.89%,"287,617,670","1,198,681,420"
2013/2/22,740.159,745.402,738.892,740.771,-0.27%,0.88%,"335,451,000","1,439,849,400"
2013/2/21,757.263,758.014,737.199,742.759,-2.55%,2.73%,"523,840,170","2,132,915,000"
2013/2/20,755.414,762.306,754.992,762.218,0.84%,0.97%,"324,222,800","1,399,901,600"
2013/2/19,771.812,771.812,754.202,755.904,-2.02%,2.28%,"408,611,520","1,758,578,400"
2013/2/18,779.279,780.191,769.914,771.47,-0.87%,1.32%,"413,111,820","1,778,447,100"
2013/2/8,773.426,780.815,771.408,778.223,0.67%,1.22%,"408,698,600","1,810,265,600"
2013/2/7,772.408,773.769,767.638,773.04,-0.25%,0.79%,"405,499,070","1,873,514,400"
2013/2/6,774.181,778.451,770.521,774.955,-0.26%,1.02%,"498,401,500","2,349,321,100"
2013/2/5,764.137,777.825,760.297,777.012,1.18%,2.28%,"743,471,690","3,317,119,100"
2013/2/4,755.57,767.977,751.67,767.977,1.75%,2.16%,"702,513,110","3,217,188,900"
2013/2/1,748.768,755.111,747.054,754.758,0.56%,1.07%,"553,108,640","2,491,268,400"
2013/1/31,757.793,758.263,748.641,750.52,-1.36%,1.26%,"498,395,580","2,107,580,800"
2013/1/30,753.012,761.68,748.573,760.837,0.90%,1.74%,"602,685,960","2,478,100,200"
2013/1/29,754.454,755.225,748.736,754.029,0.14%,0.86%,"450,434,620","1,942,810,500"
2013/1/28,740.917,753.011,740.132,753.011,1.61%,1.74%,"414,632,580","1,761,739,000"
2013/1/25,746.728,749.509,738.829,741.089,-1.62%,1.42%,"404,547,710","1,713,118,200"
2013/1/24,758.169,772.253,748.91,753.32,-0.53%,3.08%,"718,285,350","3,185,631,300"
2013/1/23,747.471,764.175,747.119,757.308,1.21%,2.28%,"534,701,220","2,195,994,900"
2013/1/22,758,758,744.444,748.242,-1.50%,1.78%,"502,874,010","2,141,527,600"
2013/1/21,756.638,759.637,752.327,759.637,0.24%,0.96%,"484,308,750","2,043,380,800"
2013/1/18,755.299,759.471,748.468,757.81,0.68%,1.46%,"531,658,980","2,303,118,900"
2013/1/17,756.344,762.633,751.062,752.719,-1.08%,1.52%,"540,879,300","2,572,082,200"
2013/1/16,762.947,763.433,748.274,760.91,-0.37%,1.98%,"675,786,530","3,208,967,100"
2013/1/15,749.747,767.236,749.747,763.711,1.76%,2.33%,"767,636,180","3,531,728,600"
2013/1/14,724.928,752.024,724.47,750.498,0.03%,3.67%,"635,247,900","2,835,501,500"
2013/1/11,750.498,752.024,724.47,745.006,-0.73%,3.67%,"635,247,900","2,835,501,500"
2013/1/10,745.006,757.028,740.818,750.287,0.85%,2.18%,"680,649,390","3,087,376,700"
2013/1/9,745.015,747.069,737.502,743.997,-0.28%,1.28%,"577,909,850","2,761,352,400"
2013/1/8,742.338,746.824,737.743,746.06,0.53%,1.22%,"540,499,990","2,302,129,200"
2013/1/7,739.214,742.697,736.381,742.153,0.21%,0.85%,"561,658,570","2,238,875,900"
2013/1/4,743.444,751.347,734.029,740.585,2.00%,2.39%,"952,314,540","3,670,699,200"
2012/12/31,721.305,729.823,719.651,726.043,0.58%,1.41%,"549,664,630","2,120,388,700"
2012/12/28,717.235,721.955,713.64,721.861,0.23%,1.15%,"579,221,450","2,175,822,400"
2012/12/27,713.067,732.907,708.273,720.188,0.91%,3.45%,"832,828,010","3,142,428,200"
2012/12/26,707.185,713.858,707.185,713.702,0.63%,0.94%,"506,172,590","1,990,487,900"
2012/12/25,694.006,711.219,690.673,709.259,1.89%,2.95%,"609,941,740","2,440,013,500"
2012/12/24,702.911,702.911,693.498,696.095,-0.28%,1.35%,"320,563,670","1,248,590,540"
2012/12/21,705.594,712.322,695.332,698.025,-1.27%,2.40%,"538,569,390","2,201,539,400"
2012/12/20,700.105,707.009,696.18,707.009,0.70%,1.54%,"562,386,820","2,354,745,500"
2012/12/19,703.865,705.435,699.243,702.095,-0.36%,0.88%,"434,034,500","1,679,343,100"
2012/12/18,706.75,713.315,701.304,704.624,-0.27%,1.70%,"631,058,100","2,439,485,600"
2012/12/17,697.658,716.021,697.658,706.515,1.33%,2.63%,"795,148,450","3,082,236,300"
2012/12/14,671.877,698.653,670.32,697.24,3.84%,4.22%,"689,032,790","2,522,055,400"
2012/12/13,682.683,682.683,670.754,671.43,-1.86%,1.74%,"304,581,250","1,127,084,560"
2012/12/12,686.362,686.362,676.948,684.189,-0.02%,1.38%,"332,533,170","1,236,796,750"
2012/12/11,684.554,694.245,678.438,684.31,-0.56%,2.30%,"470,695,060","1,728,439,400"
2012/12/10,675.602,689.797,673.192,688.156,1.59%,2.45%,"555,217,270","1,972,463,500"
2012/12/7,666.666,679.327,656.602,677.359,1.98%,3.42%,"618,342,530","2,144,127,100"
2012/12/6,662.773,668.667,661.345,664.231,0.05%,1.10%,"351,482,710","1,238,204,800"
2012/12/5,644.816,668.502,643.251,663.88,2.70%,3.91%,"519,879,830","1,804,292,300"
2012/12/4,638.787,647.835,631.668,646.445,1.18%,2.53%,"299,769,560","1,010,574,120"
2012/12/3,652.837,653.148,638.122,638.929,-2.66%,2.29%,"309,904,820","1,044,188,890"
2012/11/30,649.498,660.196,648.97,656.382,0.96%,1.73%,"385,713,430","1,252,634,020"
2012/11/29,638.144,655.642,637.079,650.149,1.78%,2.91%,"398,224,470","1,291,661,770"
2012/11/28,650.328,650.793,636.051,638.783,-2.55%,2.25%,"339,879,570","1,165,423,340"
2012/11/27,663.832,672.854,654.772,655.518,-1.02%,2.73%,"379,696,740","1,213,909,320"
2012/11/26,661.608,669.922,661.608,662.278,0.14%,1.26%,"162,799,080","584,888,860"
2012/11/23,661.137,665.237,659.585,661.325,0.18%,0.86%,"129,944,353","503,781,220"
2012/11/22,663.651,664.519,658.132,660.122,-1.07%,0.96%,"124,022,694","467,282,190"
2012/11/21,659.789,667.977,654.47,667.266,1.28%,2.05%,"180,058,360","671,324,710"
2012/11/20,664.714,664.735,658.469,658.856,-0.44%,0.95%,"133,186,962","518,848,510"
2012/11/19,659.855,662.123,655.112,661.737,0.29%,1.06%,"131,967,426","503,908,270"
2012/11/16,663.89,664.727,655.063,659.855,-0.78%,1.45%,"184,820,950","698,229,560"
2012/11/15,674.252,676.104,664.345,665.039,-1.74%,1.74%,"178,314,580","705,015,670"
2012/11/14,675.728,677.449,671.164,676.824,0.28%,0.93%,"166,672,400","669,877,420"
2012/11/13,686.119,686.119,673.442,674.919,-1.55%,1.85%,"219,031,610","885,181,200"
2012/11/12,682.674,685.918,680.782,685.525,0.52%,0.75%,"173,399,290","669,247,840"
2012/11/9,682.092,686.334,679.423,681.955,-0.09%,1.01%,"167,087,980","661,257,040"
2012/11/8,698.099,698.099,681.711,682.538,-3.03%,2.33%,"283,764,070","1,137,164,170"
2012/11/7,700.719,705.158,697.72,703.861,0.26%,1.06%,"248,362,380","1,054,271,750"
2012/11/6,710.397,710.397,693.411,702.065,-1.23%,2.39%,"283,529,990","1,130,267,900"
2012/11/5,713.38,715.394,707.931,710.804,-0.30%,1.05%,"247,080,330","1,027,761,220"
2012/11/2,710.67,713.7,706.144,712.922,0.25%,1.06%,"347,668,930","1,526,593,900"
2012/11/1,701.896,713.221,699.999,711.145,1.39%,1.89%,"456,884,500","2,046,962,700"
2012/10/31,695.745,702.383,695.02,701.429,-0.28%,1.05%,"410,149,090","1,905,148,100"
2012/10/30,701.353,705.131,691.647,703.395,0.41%,1.92%,"489,122,440","2,207,682,500"
2012/10/29,705.901,706.357,696.648,700.491,-1.27%,1.37%,"378,359,210","1,573,862,600"
2012/10/26,735.511,735.511,705.356,709.528,-4.19%,4.07%,"698,423,270","2,620,981,800"
2012/10/25,727.058,761.184,725.542,740.567,2.13%,4.92%,"1,127,938,830","4,307,973,600"
2012/10/24,705.309,733.133,705.309,725.147,1.17%,3.88%,"611,105,350","2,714,557,700"
2012/10/23,712.988,718.77,711.371,716.778,0.41%,1.04%,"432,198,000","2,069,607,600"
2012/10/22,710.253,715.63,706.489,713.881,-0.13%,1.28%,"243,990,010","993,539,370"
2012/10/19,711.566,721.693,709.808,714.807,0.42%,1.67%,"310,558,320","1,278,766,360"
2012/10/18,701.712,714.873,700.927,711.793,1.61%,1.99%,"381,754,140","1,533,993,800"
2012/10/17,700.004,702.528,693.287,700.503,0.16%,1.32%,"207,693,810","836,384,290"
2012/10/16,700.254,703.736,696.254,699.413,-0.01%,1.07%,"200,343,500","830,769,610"
2012/10/15,704.581,704.581,693.489,699.455,-0.88%,1.57%,"215,456,840","859,764,570"
2012/10/12,708.457,712.727,698.066,705.64,-0.24%,2.07%,"277,254,440","1,076,313,320"
2012/10/11,719.566,719.566,705.664,707.326,-2.09%,1.92%,"427,860,850","1,525,798,600"
2012/10/10,702.932,729.686,701.372,722.456,2.42%,4.01%,"530,562,920","1,969,348,900"
2012/10/9,691.724,706.02,690.783,705.362,2.04%,2.20%,"354,599,020","1,431,094,800"
2012/10/8,693.631,696.854,686.28,691.253,-0.36%,1.52%,"220,423,240","881,925,470"
2012/9/28,680.781,694.346,679.183,693.722,1.32%,2.21%,"319,472,600","1,258,431,890"
2012/9/27,671.191,687.698,669.534,684.661,2.11%,2.71%,"309,774,530","1,191,667,640"
2012/9/26,684.2,684.661,669.45,670.521,-2.37%,2.21%,"205,977,640","803,901,330"
2012/9/25,683.106,690.385,680.618,686.782,0.37%,1.43%,"253,081,680","1,061,363,320"
2012/9/24,674.409,687.492,674.006,684.247,-0.16%,1.97%,"256,161,400","1,000,299,910"
2012/9/21,686.467,691.972,683.96,685.376,-0.37%,1.16%,"227,849,880","908,817,680"
2012/9/20,705.323,705.496,687.615,687.906,-2.74%,2.53%,"308,720,820","1,254,936,190"
2012/9/19,705.026,707.272,701.721,707.252,0.43%,0.79%,"215,483,350","924,595,260"
2012/9/18,711.83,711.83,701.916,704.228,-1.47%,1.39%,"279,929,500","1,211,390,050"
2012/9/17,736.261,736.401,714.479,714.718,-3.13%,2.97%,"373,969,160","1,625,429,000"
2012/9/14,741.496,744.201,733.488,737.785,0.00%,1.45%,"458,333,670","2,030,845,800"
2012/9/13,735.4,750.449,731.366,737.807,0.07%,2.59%,"485,421,730","2,167,987,100"
2012/9/12,732.134,738.038,730.503,737.265,1.00%,1.03%,"499,098,470","2,207,959,900"
2012/9/11,729.811,733.023,724.52,729.945,-0.26%,1.16%,"405,423,520","1,740,294,500"
2012/9/10,727.747,734.491,722.301,731.861,0.65%,1.68%,"552,466,410","2,309,991,100"
2012/9/7,696.06,733.64,696.06,727.135,4.88%,5.42%,"818,901,760","3,285,955,400"
2012/9/6,686.832,693.287,686.362,693.287,0.99%,1.01%,"238,257,920","911,384,600"
2012/9/5,688.972,691.338,681.772,686.463,-1.01%,1.38%,"327,967,060","1,269,500,200"
2012/9/4,705.675,706.36,692.711,693.48,-1.83%,1.93%,"302,560,080","1,185,541,320"
2012/9/3,703.148,707.605,698.649,706.382,0.21%,1.27%,"272,676,230","1,085,638,790"
2012/8/31,703.974,707.444,701.838,704.89,-0.14%,0.79%,"246,350,600","1,016,463,430"
2012/8/30,713.605,716.271,698.958,705.908,-1.28%,2.42%,"321,146,640","1,325,542,790"
2012/8/29,723.031,723.031,713.92,715.036,-1.76%,1.25%,"374,853,360","1,594,451,900"
2012/8/28,726.254,734.965,725.358,727.86,1.94%,1.35%,"473,722,720","1,972,231,300"
2012/8/27,729.365,730.203,713.066,714.042,-2.69%,2.34%,"326,373,850","1,403,592,800"
2012/8/24,744.766,744.925,733.348,733.768,-1.95%,1.55%,"276,376,360","1,231,292,560"
2012/8/23,742.87,750.456,742.8,748.384,0.59%,1.03%,"295,495,720","1,383,964,900"
